Point,x,y
1,13.8986167183147,7.85445103567957
2,-11.9214800091942,-5.89376033703403
3,6.44447570896175,-10.0672680253183
4,16.7488698958506,12.6920530486108
5,10.9834849622239,9.93742893709005
6,-12.3975616152239,2.04059492102217
7,-4.50259060707671,1.30077917041461
8,8.30795251889656,17.6568063586771
9,-20.2399016203517,0.781903826339777
10,5.65654312475365,14.784087892679
11,-11.5720533970771,-0.197920537616419
12,0.0725284486620562,-2.46992093777182
13,-7.87430021046467,10.1160218052411
14,5.01094482101955,15.4061638129752
15,-1.28521436629557,-2.63509635948247
